Street Address,City,State,ZIP Code,Price,Bedrooms,Bathrooms,Square Footage,Property Type,Image_Path
8870 Blossom Hill Road,San Jose,CA,95115,2154000,1,1,3474,Apartment,property_images/apartment_images/apartment_121.jpg
6427 El Camino Real,San Jose,CA,95181,1722000,1,4,3802,Single Family,property_images/single_family_images/single_family_119.jpg
5256 Jackson Ave,San Jose,CA,95129,586000,4,1,4117,Single Family,property_images/single_family_images/single_family_120.jpg
9862 Quimby Rd,San Jose,CA,95190,1153000,4,3,2142,Single Family,property_images/single_family_images/single_family_121.jpg
6490 Blossom Hill Road,San Jose,CA,95172,1817000,1,3,1112,Single Family,property_images/single_family_images/single_family_122.jpg
8880 El Camino Real,San Jose,CA,95153,2832000,2,1,4074,Apartment,property_images/apartment_images/apartment_122.jpg
9954 Fairway Drive,San Jose,CA,95128,1333000,3,3,2370,Apartment,property_images/apartment_images/apartment_123.jpg
2456 Mabury Rd,San Jose,CA,95198,1294000,1,3,915,Apartment,property_images/apartment_images/apartment_124.jpg
5876 Blossom Hill Road,San Jose,CA,95136,2050000,4,4,1501,Apartment,property_images/apartment_images/apartment_125.jpg
2505 El Camino Real,San Jose,CA,95156,1521000,5,4,2076,Single Family,property_images/single_family_images/single_family_123.jpg
8460 Lick Mill Blvd,San Jose,CA,95182,2636000,6,3,3652,Apartment,property_images/apartment_images/apartment_126.jpg
8694 Jackson Ave,San Jose,CA,95127,1542000,5,3,1927,Single Family,property_images/single_family_images/single_family_124.jpg
3821 Pomeroy Ave,San Jose,CA,95142,2773000,4,3,4074,Single Family,property_images/single_family_images/single_family_125.jpg
8555 Brophy Ct,San Jose,CA,95111,699000,4,1,1490,Apartment,property_images/apartment_images/apartment_127.jpg
8742 Berryessa Rd,San Jose,CA,95171,1982000,4,2,4462,Single Family,property_images/single_family_images/single_family_126.jpg
2304 Fairway Drive,San Jose,CA,95187,845000,2,1,812,Single Family,property_images/single_family_images/single_family_127.jpg
8395 Fairway Drive,San Jose,CA,95110,1558000,4,2,4097,Apartment,property_images/apartment_images/apartment_128.jpg
6592 Lelong St,San Jose,CA,95115,2685000,4,2,4716,Apartment,property_images/apartment_images/apartment_129.jpg
8615 McLaughlin Ave,San Jose,CA,95144,1773000,3,3,2604,Apartment,property_images/apartment_images/apartment_130.jpg
4075 McKee Rd,San Jose,CA,95179,1855000,6,3,2359,Single Family,property_images/single_family_images/single_family_128.jpg
4535 King Rd,San Jose,CA,95116,599000,5,1,1618,Apartment,property_images/apartment_images/apartment_131.jpg
7530 Piedmont Rd,San Jose,CA,95188,1647000,5,3,4827,Apartment,property_images/apartment_images/apartment_132.jpg
3464 McKee Rd,San Jose,CA,95110,1418000,3,4,3021,Apartment,property_images/apartment_images/apartment_133.jpg
2981 McLaughlin Ave,San Jose,CA,95135,722000,5,1,884,Single Family,property_images/single_family_images/single_family_129.jpg
3082 Lelong St,San Jose,CA,95156,2971000,5,4,2754,Single Family,property_images/single_family_images/single_family_130.jpg
9020 Jackson Ave,San Jose,CA,95125,2558000,6,3,3594,Single Family,property_images/single_family_images/single_family_131.jpg
6730 Lelong St,San Jose,CA,95166,2923000,5,3,1321,Single Family,property_images/single_family_images/single_family_132.jpg
9432 Almaden Rd,San Jose,CA,95130,2746000,5,4,2364,Apartment,property_images/apartment_images/apartment_134.jpg
1973 Lelong St,San Jose,CA,95129,2040000,4,4,1224,Apartment,property_images/apartment_images/apartment_135.jpg
7235 McKee Rd,San Jose,CA,95186,874000,5,1,3938,Apartment,property_images/apartment_images/apartment_136.jpg
3738 Blossom Hill Road,San Jose,CA,95126,2681000,6,1,2718,Apartment,property_images/apartment_images/apartment_137.jpg
3433 Muirwood Dr,San Jose,CA,95136,1159000,3,3,3199,Single Family,property_images/single_family_images/single_family_133.jpg
9121 Jackson Ave,San Jose,CA,95133,1322000,3,4,4661,Single Family,property_images/single_family_images/single_family_134.jpg
6176 South Bascom Ave,San Jose,CA,95191,2426000,4,2,2737,Apartment,property_images/apartment_images/apartment_138.jpg
1614 Fairway Drive,San Jose,CA,95132,1968000,3,4,2416,Single Family,property_images/single_family_images/single_family_135.jpg
1203 Monterey Hwy,San Jose,CA,95115,739000,2,3,3239,Apartment,property_images/apartment_images/apartment_139.jpg
9278 Almaden Rd,San Jose,CA,95157,634000,2,2,2790,Apartment,property_images/apartment_images/apartment_140.jpg
8188 South Bascom Ave,San Jose,CA,95112,1192000,3,4,3708,Apartment,property_images/apartment_images/apartment_141.jpg
8618 Silver Creek Valley Rd,San Jose,CA,95154,614000,3,3,3461,Single Family,property_images/single_family_images/single_family_136.jpg
2706 Brophy Ct,San Jose,CA,95178,2827000,1,4,3526,Single Family,property_images/single_family_images/single_family_137.jpg
2178 Tully Rd,San Jose,CA,95131,2962000,6,4,1637,Apartment,property_images/apartment_images/apartment_142.jpg
8448 Tully Rd,San Jose,CA,95112,1385000,6,2,2797,Apartment,property_images/apartment_images/apartment_143.jpg
7775 Senter Rd,San Jose,CA,95143,2295000,2,4,1833,Single Family,property_images/single_family_images/single_family_138.jpg
9807 Silver Creek Valley Rd,San Jose,CA,95165,587000,3,1,3982,Apartment,property_images/apartment_images/apartment_144.jpg
2617 South Bascom Ave,San Jose,CA,95187,2854000,3,4,3237,Single Family,property_images/single_family_images/single_family_139.jpg
4022 Monterey Hwy,San Jose,CA,95174,1762000,3,3,4381,Single Family,property_images/single_family_images/single_family_140.jpg
1920 Tully Rd,San Jose,CA,95191,2529000,2,2,1767,Apartment,property_images/apartment_images/apartment_145.jpg
9779 Muirwood Dr,San Jose,CA,95115,878000,4,2,3444,Apartment,property_images/apartment_images/apartment_146.jpg
7961 Pomeroy Ave,San Jose,CA,95188,2779000,6,3,3664,Apartment,property_images/apartment_images/apartment_147.jpg
4776 Blossom Hill Road,San Jose,CA,95118,2511000,3,2,4152,Apartment,property_images/apartment_images/apartment_148.jpg
8390 Silver Creek Valley Rd,San Jose,CA,95153,2691000,5,3,2007,Apartment,property_images/apartment_images/apartment_149.jpg
5068 Blossom Hill Road,San Jose,CA,95162,1775000,1,3,1349,Single Family,property_images/single_family_images/single_family_141.jpg
7442 Pomeroy Ave,San Jose,CA,95198,993000,5,2,2550,Single Family,property_images/single_family_images/single_family_142.jpg
6223 Pomeroy Ave,San Jose,CA,95183,2456000,3,4,2499,Single Family,property_images/single_family_images/single_family_143.jpg
7822 McKee Rd,San Jose,CA,95151,2776000,2,2,2957,Apartment,property_images/apartment_images/apartment_150.jpg
8480 Brophy Ct,San Jose,CA,95176,2579000,5,4,4261,Apartment,property_images/apartment_images/apartment_151.jpg
3174 McLaughlin Ave,San Jose,CA,95111,2934000,6,2,4432,Single Family,property_images/single_family_images/single_family_144.jpg
2962 Silver Creek Valley Rd,San Jose,CA,95187,2550000,3,2,4432,Single Family,property_images/single_family_images/single_family_145.jpg
5456 Jackson Ave,San Jose,CA,95167,2502000,3,4,1308,Apartment,property_images/apartment_images/apartment_152.jpg
4095 South Bascom Ave,San Jose,CA,95153,2509000,5,3,3489,Single Family,property_images/single_family_images/single_family_146.jpg
8802 Senter Rd,San Jose,CA,95199,1407000,5,3,2475,Single Family,property_images/single_family_images/single_family_147.jpg
9785 Quimby Rd,San Jose,CA,95186,778000,1,3,4335,Apartment,property_images/apartment_images/apartment_153.jpg
9844 Santa Teresa Blvd,San Jose,CA,95165,910000,3,4,1205,Apartment,property_images/apartment_images/apartment_154.jpg
7323 Jackson Ave,San Jose,CA,95122,519000,6,3,2281,Single Family,property_images/single_family_images/single_family_148.jpg
6637 Fairway Drive,San Jose,CA,95182,895000,3,4,3960,Single Family,property_images/single_family_images/single_family_149.jpg
6503 Mabury Rd,San Jose,CA,95120,1800000,2,1,3243,Apartment,property_images/apartment_images/apartment_155.jpg
6789 McKee Rd,San Jose,CA,95182,2756000,6,3,3802,Apartment,property_images/apartment_images/apartment_156.jpg
5793 South Bascom Ave,San Jose,CA,95142,1819000,3,2,2713,Apartment,property_images/apartment_images/apartment_157.jpg
8808 Monterey Hwy,San Jose,CA,95195,2755000,6,4,1060,Apartment,property_images/apartment_images/apartment_158.jpg
8999 Fairway Drive,San Jose,CA,95162,2963000,2,4,822,Apartment,property_images/apartment_images/apartment_159.jpg
8578 El Camino Real,San Jose,CA,95178,2788000,1,3,2066,Apartment,property_images/apartment_images/apartment_160.jpg
7771 Senter Rd,San Jose,CA,95126,2750000,1,3,3213,Apartment,property_images/apartment_images/apartment_161.jpg
5782 Silver Creek Valley Rd,San Jose,CA,95166,2766000,6,1,4073,Apartment,property_images/apartment_images/apartment_162.jpg
7058 El Camino Real,San Jose,CA,95114,1399000,1,4,879,Apartment,property_images/apartment_images/apartment_163.jpg
8735 Blossom Hill Road,San Jose,CA,95124,2789000,1,1,1846,Apartment,property_images/apartment_images/apartment_164.jpg
2854 South Bascom Ave,San Jose,CA,95174,602000,2,2,833,Single Family,property_images/single_family_images/single_family_150.jpg
9644 Fairway Drive,San Jose,CA,95160,2576000,2,3,3233,Apartment,property_images/apartment_images/apartment_165.jpg
9680 Almaden Rd,San Jose,CA,95198,2254000,1,1,2035,Single Family,property_images/single_family_images/single_family_151.jpg
2098 Brophy Ct,San Jose,CA,95182,1582000,5,4,2958,Single Family,property_images/single_family_images/single_family_152.jpg
9063 Fairway Drive,San Jose,CA,95175,1602000,2,3,2487,Apartment,property_images/apartment_images/apartment_166.jpg
9117 Monterey Hwy,San Jose,CA,95169,1093000,3,2,3261,Apartment,property_images/apartment_images/apartment_167.jpg
6999 Monterey Hwy,San Jose,CA,95176,1664000,5,1,2383,Apartment,property_images/apartment_images/apartment_168.jpg
2454 Blossom Hill Road,San Jose,CA,95142,992000,6,3,3820,Single Family,property_images/single_family_images/single_family_153.jpg
3828 Fairway Drive,San Jose,CA,95123,1233000,4,1,1733,Apartment,property_images/apartment_images/apartment_169.jpg
4929 Pomeroy Ave,San Jose,CA,95148,1229000,5,3,3958,Apartment,property_images/apartment_images/apartment_170.jpg
2846 Lelong St,San Jose,CA,95186,608000,1,2,4458,Apartment,property_images/apartment_images/apartment_171.jpg
9358 Brophy Ct,San Jose,CA,95184,595000,3,2,4645,Single Family,property_images/single_family_images/single_family_154.jpg
7783 Almaden Rd,San Jose,CA,95153,1235000,1,2,2687,Single Family,property_images/single_family_images/single_family_155.jpg
4013 Pomeroy Ave,San Jose,CA,95156,1551000,6,2,1478,Single Family,property_images/single_family_images/single_family_156.jpg
3842 Tully Rd,San Jose,CA,95169,1465000,2,1,4239,Apartment,property_images/apartment_images/apartment_172.jpg
9138 Blossom Hill Road,San Jose,CA,95195,1956000,3,2,2230,Single Family,property_images/single_family_images/single_family_157.jpg
1152 Jackson Ave,San Jose,CA,95121,1659000,4,1,1258,Single Family,property_images/single_family_images/single_family_158.jpg
2379 Monterey Hwy,San Jose,CA,95186,853000,1,1,1836,Single Family,property_images/single_family_images/single_family_159.jpg
1716 Tully Rd,San Jose,CA,95126,2188000,4,4,1297,Single Family,property_images/single_family_images/single_family_160.jpg
1318 Muirwood Dr,San Jose,CA,95188,917000,5,3,1401,Apartment,property_images/apartment_images/apartment_173.jpg
6939 Almaden Rd,San Jose,CA,95135,521000,2,2,3127,Apartment,property_images/apartment_images/apartment_174.jpg
1744 Monterey Hwy,San Jose,CA,95144,1868000,3,2,3860,Single Family,property_images/single_family_images/single_family_161.jpg
9841 Muirwood Dr,San Jose,CA,95195,754000,6,2,3747,Single Family,property_images/single_family_images/single_family_162.jpg
2885 Berryessa Rd,San Jose,CA,95164,1716000,6,2,3743,Apartment,property_images/apartment_images/apartment_175.jpg
4560 Santa Teresa Blvd,San Jose,CA,95154,1195000,5,2,2677,Single Family,property_images/single_family_images/single_family_163.jpg
9791 South Bascom Ave,San Jose,CA,95159,2548000,3,4,1970,Single Family,property_images/single_family_images/single_family_164.jpg
8761 Berryessa Rd,San Jose,CA,95119,2878000,6,3,1204,Apartment,property_images/apartment_images/apartment_176.jpg
4273 Monterey Hwy,San Jose,CA,95196,554000,6,4,4474,Apartment,property_images/apartment_images/apartment_177.jpg
4296 Monterey Hwy,San Jose,CA,95168,864000,2,4,2221,Single Family,property_images/single_family_images/single_family_165.jpg
4975 Monterey Hwy,San Jose,CA,95197,2311000,3,2,1234,Apartment,property_images/apartment_images/apartment_178.jpg
7950 Silver Creek Valley Rd,San Jose,CA,95185,1183000,1,2,1947,Apartment,property_images/apartment_images/apartment_179.jpg
6893 South Bascom Ave,San Jose,CA,95181,1337000,6,2,3047,Single Family,property_images/single_family_images/single_family_166.jpg
3576 Pomeroy Ave,San Jose,CA,95144,849000,2,4,2167,Single Family,property_images/single_family_images/single_family_167.jpg
2159 Fairway Drive,San Jose,CA,95155,1752000,5,2,826,Single Family,property_images/single_family_images/single_family_168.jpg
2257 McKee Rd,San Jose,CA,95141,1237000,2,1,1892,Apartment,property_images/apartment_images/apartment_180.jpg
7872 Silver Creek Valley Rd,San Jose,CA,95188,1422000,4,1,3934,Single Family,property_images/single_family_images/single_family_169.jpg
7536 Blossom Hill Road,San Jose,CA,95172,1010000,6,4,1900,Single Family,property_images/single_family_images/single_family_170.jpg
4792 Blossom Hill Road,San Jose,CA,95188,1763000,4,1,3436,Apartment,property_images/apartment_images/apartment_181.jpg
7204 McLaughlin Ave,San Jose,CA,95176,1806000,4,3,3011,Apartment,property_images/apartment_images/apartment_182.jpg
9400 Monterey Hwy,San Jose,CA,95193,2212000,5,2,4527,Apartment,property_images/apartment_images/apartment_183.jpg
8363 Almaden Rd,San Jose,CA,95124,2192000,4,3,2242,Apartment,property_images/apartment_images/apartment_184.jpg
5378 South Bascom Ave,San Jose,CA,95133,2631000,3,1,4873,Single Family,property_images/single_family_images/single_family_171.jpg
9230 Mabury Rd,San Jose,CA,95164,994000,5,4,2742,Single Family,property_images/single_family_images/single_family_172.jpg
2816 Almaden Rd,San Jose,CA,95198,2109000,1,3,3739,Single Family,property_images/single_family_images/single_family_173.jpg
8192 Mabury Rd,San Jose,CA,95176,2580000,3,4,3790,Apartment,property_images/apartment_images/apartment_185.jpg
2269 Brophy Ct,San Jose,CA,95150,2255000,6,1,1941,Single Family,property_images/single_family_images/single_family_174.jpg
8459 Jackson Ave,San Jose,CA,95130,2189000,5,1,1843,Apartment,property_images/apartment_images/apartment_186.jpg
5203 Brophy Ct,San Jose,CA,95149,2971000,6,4,1267,Apartment,property_images/apartment_images/apartment_187.jpg
5289 McKee Rd,San Jose,CA,95136,2390000,5,4,2304,Apartment,property_images/apartment_images/apartment_188.jpg
6675 McLaughlin Ave,San Jose,CA,95119,803000,6,2,1577,Apartment,property_images/apartment_images/apartment_189.jpg
8017 Pomeroy Ave,San Jose,CA,95146,1183000,1,4,3912,Single Family,property_images/single_family_images/single_family_175.jpg
5987 Pomeroy Ave,San Jose,CA,95195,2591000,3,1,3148,Single Family,property_images/single_family_images/single_family_176.jpg
9432 King Rd,San Jose,CA,95178,900000,2,1,3556,Apartment,property_images/apartment_images/apartment_190.jpg
2096 Quimby Rd,San Jose,CA,95156,680000,6,2,871,Single Family,property_images/single_family_images/single_family_177.jpg
6369 Quimby Rd,San Jose,CA,95122,2016000,4,4,4372,Apartment,property_images/apartment_images/apartment_191.jpg
4883 Mabury Rd,San Jose,CA,95191,2862000,6,1,4815,Apartment,property_images/apartment_images/apartment_192.jpg
2418 Blossom Hill Road,San Jose,CA,95166,717000,3,3,3770,Apartment,property_images/apartment_images/apartment_193.jpg
7598 Santa Teresa Blvd,San Jose,CA,95153,2400000,1,3,2593,Apartment,property_images/apartment_images/apartment_194.jpg
8975 Almaden Rd,San Jose,CA,95169,2075000,6,1,2088,Single Family,property_images/single_family_images/single_family_178.jpg
7491 Almaden Rd,San Jose,CA,95194,2930000,1,2,1185,Single Family,property_images/single_family_images/single_family_179.jpg
9796 Senter Rd,San Jose,CA,95166,1023000,1,4,4149,Apartment,property_images/apartment_images/apartment_195.jpg
2925 Monterey Hwy,San Jose,CA,95174,1344000,1,4,2863,Apartment,property_images/apartment_images/apartment_196.jpg
5190 Piedmont Rd,San Jose,CA,95128,1063000,2,4,3021,Single Family,property_images/single_family_images/single_family_180.jpg
7468 McKee Rd,San Jose,CA,95185,2019000,6,3,1777,Single Family,property_images/single_family_images/single_family_181.jpg
8131 Monterey Hwy,San Jose,CA,95155,1067000,6,1,3920,Single Family,property_images/single_family_images/single_family_182.jpg
8671 McLaughlin Ave,San Jose,CA,95136,724000,4,4,3595,Apartment,property_images/apartment_images/apartment_197.jpg
9831 Blossom Hill Road,San Jose,CA,95151,1632000,2,3,1434,Single Family,property_images/single_family_images/single_family_183.jpg
8214 Senter Rd,San Jose,CA,95147,1736000,6,2,3631,Single Family,property_images/single_family_images/single_family_184.jpg
1862 Mabury Rd,San Jose,CA,95125,1271000,1,1,1978,Single Family,property_images/single_family_images/single_family_185.jpg
7009 Quimby Rd,San Jose,CA,95126,1746000,4,3,4711,Apartment,property_images/apartment_images/apartment_198.jpg
6086 Muirwood Dr,San Jose,CA,95160,949000,2,3,2801,Single Family,property_images/single_family_images/single_family_186.jpg
6747 Santa Teresa Blvd,San Jose,CA,95135,1771000,1,4,3301,Apartment,property_images/apartment_images/apartment_199.jpg
2548 Silver Creek Valley Rd,San Jose,CA,95172,779000,6,4,3121,Single Family,property_images/single_family_images/single_family_187.jpg
9361 Jackson Ave,San Jose,CA,95122,2059000,3,2,4441,Single Family,property_images/single_family_images/single_family_188.jpg
3729 King Rd,San Jose,CA,95125,1034000,1,4,4063,Single Family,property_images/single_family_images/single_family_189.jpg
1652 Fairway Drive,San Jose,CA,95147,1174000,4,3,4130,Apartment,property_images/apartment_images/apartment_200.jpg
4336 Tully Rd,San Jose,CA,95190,1882000,6,4,3694,Apartment,property_images/apartment_images/apartment_201.jpg
9167 El Camino Real,San Jose,CA,95194,804000,3,4,2023,Apartment,property_images/apartment_images/apartment_202.jpg
7588 South Bascom Ave,San Jose,CA,95172,2772000,3,1,2784,Single Family,property_images/single_family_images/single_family_190.jpg
1099 Almaden Rd,San Jose,CA,95197,664000,5,1,2349,Single Family,property_images/single_family_images/single_family_191.jpg
9302 Piedmont Rd,San Jose,CA,95127,2742000,3,3,3368,Single Family,property_images/single_family_images/single_family_192.jpg
4232 Mabury Rd,San Jose,CA,95148,2380000,3,2,1347,Apartment,property_images/apartment_images/apartment_203.jpg
3826 Almaden Rd,San Jose,CA,95191,2377000,5,2,3813,Apartment,property_images/apartment_images/apartment_204.jpg
3113 McLaughlin Ave,San Jose,CA,95128,1974000,6,4,3705,Single Family,property_images/single_family_images/single_family_193.jpg
4664 Blossom Hill Road,San Jose,CA,95196,1865000,6,2,4208,Apartment,property_images/apartment_images/apartment_205.jpg
1155 Muirwood Dr,San Jose,CA,95164,564000,4,3,2355,Apartment,property_images/apartment_images/apartment_206.jpg
4498 Fairway Drive,San Jose,CA,95174,1006000,2,2,3704,Apartment,property_images/apartment_images/apartment_207.jpg
8430 Muirwood Dr,San Jose,CA,95154,779000,3,2,926,Apartment,property_images/apartment_images/apartment_208.jpg
9397 Quimby Rd,San Jose,CA,95114,684000,4,1,4998,Apartment,property_images/apartment_images/apartment_209.jpg
5285 Blossom Hill Road,San Jose,CA,95128,1923000,1,2,820,Single Family,property_images/single_family_images/single_family_194.jpg
6758 King Rd,San Jose,CA,95136,1405000,1,2,4775,Single Family,property_images/single_family_images/single_family_195.jpg
9788 Quimby Rd,San Jose,CA,95124,2949000,1,1,1287,Apartment,property_images/apartment_images/apartment_210.jpg
2070 Muirwood Dr,San Jose,CA,95184,1059000,5,2,1665,Apartment,property_images/apartment_images/apartment_211.jpg
7324 Santa Teresa Blvd,San Jose,CA,95163,2610000,5,4,3792,Apartment,property_images/apartment_images/apartment_212.jpg
3613 Lick Mill Blvd,San Jose,CA,95149,1287000,3,2,881,Single Family,property_images/single_family_images/single_family_196.jpg
9289 Santa Teresa Blvd,San Jose,CA,95156,1746000,1,2,3310,Single Family,property_images/single_family_images/single_family_197.jpg
8813 Muirwood Dr,San Jose,CA,95112,1766000,4,2,4359,Apartment,property_images/apartment_images/apartment_213.jpg
9532 Muirwood Dr,San Jose,CA,95196,2479000,2,2,4511,Apartment,property_images/apartment_images/apartment_214.jpg
6384 Fairway Drive,San Jose,CA,95145,2528000,5,3,4950,Single Family,property_images/single_family_images/single_family_198.jpg
9693 Berryessa Rd,San Jose,CA,95148,587000,1,1,1092,Apartment,property_images/apartment_images/apartment_215.jpg
4955 Lelong St,San Jose,CA,95190,2788000,1,4,4771,Single Family,property_images/single_family_images/single_family_199.jpg
1351 McKee Rd,San Jose,CA,95152,1945000,5,4,2008,Apartment,property_images/apartment_images/apartment_216.jpg
6317 Fairway Drive,San Jose,CA,95162,566000,5,3,1782,Single Family,property_images/single_family_images/single_family_200.jpg
8752 El Camino Real,San Jose,CA,95168,797000,5,2,2838,Apartment,property_images/apartment_images/apartment_217.jpg
1523 Monterey Hwy,San Jose,CA,95121,2116000,4,2,1661,Single Family,property_images/single_family_images/single_family_201.jpg
4358 Lick Mill Blvd,San Jose,CA,95177,1657000,5,4,4867,Single Family,property_images/single_family_images/single_family_202.jpg
6673 Senter Rd,San Jose,CA,95160,2418000,3,1,4623,Apartment,property_images/apartment_images/apartment_218.jpg
1527 McKee Rd,San Jose,CA,95126,2239000,5,2,2722,Apartment,property_images/apartment_images/apartment_219.jpg
7644 Berryessa Rd,San Jose,CA,95116,2700000,6,1,1887,Apartment,property_images/apartment_images/apartment_220.jpg
1212 McKee Rd,San Jose,CA,95153,740000,6,2,1757,Apartment,property_images/apartment_images/apartment_221.jpg
6750 Lick Mill Blvd,San Jose,CA,95173,2223000,6,1,1888,Single Family,property_images/single_family_images/single_family_203.jpg
3351 Monterey Hwy,San Jose,CA,95171,1565000,5,3,1813,Single Family,property_images/single_family_images/single_family_204.jpg
1044 Muirwood Dr,San Jose,CA,95131,1321000,1,2,3452,Single Family,property_images/single_family_images/single_family_205.jpg
1936 Pomeroy Ave,San Jose,CA,95177,940000,3,3,4712,Apartment,property_images/apartment_images/apartment_222.jpg
3997 Tully Rd,San Jose,CA,95199,1461000,1,2,2907,Single Family,property_images/single_family_images/single_family_206.jpg
6123 Santa Teresa Blvd,San Jose,CA,95164,2932000,2,1,4471,Single Family,property_images/single_family_images/single_family_207.jpg
2672 Monterey Hwy,San Jose,CA,95133,521000,6,1,3019,Single Family,property_images/single_family_images/single_family_208.jpg
5536 Senter Rd,San Jose,CA,95119,883000,1,2,3366,Apartment,property_images/apartment_images/apartment_223.jpg
1648 Santa Teresa Blvd,San Jose,CA,95113,2416000,5,2,4413,Apartment,property_images/apartment_images/apartment_224.jpg
9795 King Rd,San Jose,CA,95195,2323000,4,1,4686,Apartment,property_images/apartment_images/apartment_225.jpg
9710 Silver Creek Valley Rd,San Jose,CA,95190,933000,5,4,2589,Single Family,property_images/single_family_images/single_family_209.jpg
5650 McKee Rd,San Jose,CA,95199,2301000,1,3,3253,Apartment,property_images/apartment_images/apartment_226.jpg
2616 Silver Creek Valley Rd,San Jose,CA,95148,778000,5,4,932,Single Family,property_images/single_family_images/single_family_210.jpg
1719 Senter Rd,San Jose,CA,95112,612000,2,3,3350,Single Family,property_images/single_family_images/single_family_211.jpg
2793 Berryessa Rd,San Jose,CA,95163,2639000,5,3,1821,Single Family,property_images/single_family_images/single_family_212.jpg
8779 Lelong St,San Jose,CA,95199,2278000,3,1,2011,Apartment,property_images/apartment_images/apartment_227.jpg
1986 Jackson Ave,San Jose,CA,95170,1246000,6,3,3384,Single Family,property_images/single_family_images/single_family_213.jpg
2133 Santa Teresa Blvd,San Jose,CA,95120,2231000,6,2,3504,Apartment,property_images/apartment_images/apartment_228.jpg
2985 Monterey Hwy,San Jose,CA,95180,2032000,1,4,2535,Apartment,property_images/apartment_images/apartment_229.jpg
4043 Brophy Ct,San Jose,CA,95126,2466000,1,1,1999,Apartment,property_images/apartment_images/apartment_230.jpg
9672 El Camino Real,San Jose,CA,95145,1517000,4,3,4524,Single Family,property_images/single_family_images/single_family_214.jpg
3998 Muirwood Dr,San Jose,CA,95144,1586000,3,3,1678,Apartment,property_images/apartment_images/apartment_231.jpg
6961 Berryessa Rd,San Jose,CA,95118,869000,3,1,1624,Single Family,property_images/single_family_images/single_family_215.jpg
8305 Brophy Ct,San Jose,CA,95194,1510000,2,2,1848,Single Family,property_images/single_family_images/single_family_216.jpg
1304 Brophy Ct,San Jose,CA,95199,2284000,2,4,1385,Single Family,property_images/single_family_images/single_family_217.jpg
6867 Piedmont Rd,San Jose,CA,95128,1722000,5,2,1535,Single Family,property_images/single_family_images/single_family_218.jpg
9992 Jackson Ave,San Jose,CA,95193,2568000,2,1,1275,Single Family,property_images/single_family_images/single_family_219.jpg
9091 Quimby Rd,San Jose,CA,95166,695000,3,1,3388,Single Family,property_images/single_family_images/single_family_220.jpg
7610 King Rd,San Jose,CA,95189,958000,3,1,939,Apartment,property_images/apartment_images/apartment_232.jpg
1365 Mabury Rd,San Jose,CA,95131,2211000,1,1,2085,Apartment,property_images/apartment_images/apartment_233.jpg
3826 Berryessa Rd,San Jose,CA,95154,2394000,3,4,1727,Single Family,property_images/single_family_images/single_family_221.jpg
3063 King Rd,San Jose,CA,95168,1061000,5,1,3960,Single Family,property_images/single_family_images/single_family_222.jpg
2649 Santa Teresa Blvd,San Jose,CA,95161,2542000,5,2,4656,Apartment,property_images/apartment_images/apartment_234.jpg
1074 Pomeroy Ave,San Jose,CA,95110,2171000,4,4,1505,Single Family,property_images/single_family_images/single_family_223.jpg
9333 Pomeroy Ave,San Jose,CA,95166,1890000,2,1,1894,Single Family,property_images/single_family_images/single_family_224.jpg
1300 Jackson Ave,San Jose,CA,95170,2315000,5,3,1583,Single Family,property_images/single_family_images/single_family_225.jpg
8313 Brophy Ct,San Jose,CA,95131,1144000,2,1,1236,Single Family,property_images/single_family_images/single_family_226.jpg
7582 Brophy Ct,San Jose,CA,95125,1958000,6,4,1784,Single Family,property_images/single_family_images/single_family_227.jpg
7098 Fairway Drive,San Jose,CA,95139,2597000,6,4,4502,Apartment,property_images/apartment_images/apartment_235.jpg
6583 Lick Mill Blvd,San Jose,CA,95175,2642000,5,3,2308,Single Family,property_images/single_family_images/single_family_228.jpg
5078 Mabury Rd,San Jose,CA,95172,2944000,4,2,1670,Single Family,property_images/single_family_images/single_family_229.jpg
9768 Fairway Drive,San Jose,CA,95148,2607000,5,2,3090,Apartment,property_images/apartment_images/apartment_236.jpg
3552 Brophy Ct,San Jose,CA,95111,1924000,5,1,1515,Single Family,property_images/single_family_images/single_family_230.jpg
9265 South Bascom Ave,San Jose,CA,95186,2314000,5,3,2218,Single Family,property_images/single_family_images/single_family_231.jpg
7591 Mabury Rd,San Jose,CA,95110,2581000,4,3,2401,Apartment,property_images/apartment_images/apartment_237.jpg
3651 South Bascom Ave,San Jose,CA,95146,2824000,1,2,1906,Single Family,property_images/single_family_images/single_family_232.jpg
1379 El Camino Real,San Jose,CA,95125,1137000,2,3,1814,Single Family,property_images/single_family_images/single_family_233.jpg
3924 Lelong St,San Jose,CA,95152,1806000,3,2,4240,Single Family,property_images/single_family_images/single_family_234.jpg
4966 Quimby Rd,San Jose,CA,95122,1274000,2,4,1833,Single Family,property_images/single_family_images/single_family_235.jpg
2727 Mabury Rd,San Jose,CA,95140,770000,3,4,1946,Apartment,property_images/apartment_images/apartment_238.jpg
3513 South Bascom Ave,San Jose,CA,95172,1550000,5,4,1293,Apartment,property_images/apartment_images/apartment_239.jpg
2437 Santa Teresa Blvd,San Jose,CA,95157,559000,2,1,1292,Apartment,property_images/apartment_images/apartment_240.jpg
9218 Brophy Ct,San Jose,CA,95114,2775000,6,1,2355,Apartment,property_images/apartment_images/apartment_241.jpg
6392 Lelong St,San Jose,CA,95153,2136000,1,2,1644,Single Family,property_images/single_family_images/single_family_236.jpg
